job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,year_graduated,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Last_achievement_%,Achievement_above_100%_during3quartal,Best Performance
JG05,2.82842712474619,PG06,1.0,1.3856406460551,RM_type_A,2,1967,Y,2,level_1,0.0,1987,29,11,6,0,4,10,47.42,0.0,1
JG04,1.1180339887498998,PG03,1.1180339887498998,0.412310562561766,RM_type_B,2,1991,N,0,level_1,4.19,2009,3,2,2,0,3,0,41.45,0.0,1
JG05,2.82842712474619,PG06,1.0,1.22474487139159,RM_type_A,2,1967,Y,3,level_1,0.0,1988,27,5,6,0,2,3,53.71,0.0,1
JG04,1.22474487139159,PG03,1.22474487139159,1.15325625946708,RM_type_B,1,1991,N,0,level_1,0.0,2009,2,2,2,0,2,1,45.16,0.0,1
JG04,1.22474487139159,PG03,1.22474487139159,1.1180339887498998,RM_type_B,2,1989,Y,1,level_1,0.0,2007,2,2,2,0,2,0,97.3,1.0,1
JG04,1.2569805089976498,PG03,1.2569805089976498,1.5,RM_type_B,2,1986,Y,1,level_1,0.0,2004,2,1,2,0,4,0,78.2,0.0,1
JG05,2.6925824035672496,PG06,2.34520787991171,1.1916375287813,RM_type_A,2,1967,Y,2,level_1,0.0,1987,29,9,7,0,2,0,88.32,1.0,1
JG05,2.82842712474619,PG06,2.34520787991171,0.91104335791443,RM_type_A,2,1966,Y,2,level_1,0.0,1985,28,9,7,1,3,0,99.97,2.0,1
JG04,1.3856406460551,PG03,1.3856406460551,0.648074069840786,RM_type_C,2,1974,Y,2,level_1,0.0,2013,5,4,4,2,0,0,80.13,0.0,1
JG05,2.82842712474619,PG06,2.34520787991171,1.22474487139159,RM_type_A,2,1974,Y,1,level_1,43.57,1993,24,7,6,0,0,0,101.21,3.0,1
JG04,1.15325625946708,PG03,1.15325625946708,1.1180339887498998,RM_type_A,2,1988,Y,1,level_1,0.0,2006,3,2,3,0,3,0,77.25,0.0,1
JG05,1.6340134638368202,PG06,0.0,1.22474487139159,RM_type_A,1,1968,Y,3,level_1,0.0,1987,25,14,9,1,2,0,98.86,3.0,1
JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_A,2,1965,Y,3,level_1,6.18,1984,28,9,8,2,7,0,80.3,0.0,1
JG04,1.47309198626562,PG03,1.47309198626562,1.1916375287813,RM_type_A,2,1986,Y,0,level_1,0.0,2004,6,6,3,0,5,14,112.79,3.0,1
JG05,2.73861278752583,PG06,2.54950975679639,1.1180339887498998,RM_type_A,2,1969,Y,2,level_1,0.0,1988,28,9,8,0,2,0,39.49,0.0,1
JG04,2.82842712474619,PG04,2.82842712474619,1.22474487139159,RM_type_A,1,1965,Y,2,level_1,0.0,1985,28,9,8,0,3,0,76.5,0.0,1
JG05,2.82842712474619,PG06,2.34520787991171,1.22474487139159,RM_type_A,2,1969,Y,3,level_1,0.0,1989,27,7,7,0,2,0,68.12,0.0,1
JG05,2.82842712474619,PG06,2.34520787991171,0.707106781186548,RM_type_A,2,1966,Y,2,level_1,0.0,1986,29,5,7,9,6,1,95.78,2.0,1
JG05,2.82842712474619,PG06,2.82842712474619,1.22474487139159,RM_type_A,2,1965,Y,4,level_1,6.36,1985,31,12,7,2,0,0,70.87,0.0,1
JG04,1.0816653826392,PG03,1.0816653826392,1.22474487139159,RM_type_B,2,1993,N,0,level_1,0.0,2011,4,2,3,2,0,0,107.87,3.0,1
JG05,2.8425340807103803,PG06,2.82842712474619,0.648074069840786,RM_type_A,2,1966,Y,3,level_1,0.0,1985,32,9,7,3,5,0,82.62,1.0,1
JG04,1.3856406460551,PG03,1.3856406460551,1.0,RM_type_A,2,1986,Y,2,level_1,0.0,2010,5,3,3,8,3,0,50.53,0.0,1
JG05,1.58113883008419,PG06,0.707106781186548,1.1180339887498998,RM_type_A,1,1976,Y,3,level_1,0.0,1994,24,11,11,0,3,0,59.62,0.0,1
JG04,2.82842712474619,PG04,2.82842712474619,1.1180339887498998,RM_type_A,1,1973,Y,0,level_1,0.0,1991,25,8,9,4,0,0,59.83,0.0,1
JG04,1.22474487139159,PG03,1.22474487139159,0.648074069840786,RM_type_B,2,1989,Y,1,level_1,0.0,2007,2,2,2,0,3,0,47.14,0.0,1
JG05,2.82842712474619,PG06,2.82842712474619,1.8248287590894696,RM_type_A,2,1963,Y,3,level_1,66.0,1984,31,7,6,0,6,0,68.59,0.0,1
JG05,2.85832118559129,PG06,2.82842712474619,0.707106781186548,RM_type_A,1,1966,Y,2,level_1,0.0,1986,31,13,9,0,0,0,64.19,0.0,1
JG04,1.22474487139159,PG03,1.22474487139159,1.4142135623731005,RM_type_B,2,1989,Y,2,level_3,2.83,2011,5,3,2,0,0,1,62.63,2.0,1
JG05,2.44948974278318,PG06,2.0,0.707106781186548,RM_type_A,1,1970,Y,2,level_3,3.02,1992,26,7,10,2,5,0,20.1,0.0,1
JG05,2.23606797749979,PG06,1.73205080756888,1.78044938147649,RM_type_C,1,1971,Y,2,level_3,3.14,1994,22,9,7,4,4,0,37.8,0.0,1
JG04,1.29228479833201,PG03,1.29228479833201,1.3856406460551,RM_type_A,2,1986,Y,0,level_3,3.08,2018,5,3,2,0,1,0,57.93,0.0,1
JG04,1.1180339887498998,PG03,1.1180339887498998,0.707106781186548,RM_type_A,1,1990,Y,2,level_3,3.19,2014,4,2,4,0,0,2,74.02,0.0,1
JG04,1.3527749258468702,PG03,1.3527749258468702,1.1180339887498998,RM_type_B,1,1987,Y,1,level_3,3.13,2008,5,4,5,0,8,3,70.67,0.0,1
JG05,2.82842712474619,PG06,2.34520787991171,1.5556349186104,RM_type_A,2,1979,Y,3,level_3,3.21,2001,18,9,7,8,0,2,58.75,0.0,1
JG04,1.3527749258468702,PG03,1.3527749258468702,0.412310562561766,RM_type_A,2,1985,Y,2,level_3,0.0,2009,6,5,5,0,4,0,61.75,0.0,1
