job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,year_graduated,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Last_achievement_%,Achievement_above_100%_during3quartal,Best Performance
5,2.82842712474619,6,1.0,1.3856406460551,1,2,54,1,2,1,0.0,34,29,11,6,0,4,10,47.42,0.0,1
4,1.1180339887498998,3,1.1180339887498998,0.412310562561766,2,2,30,0,0,1,4.19,12,3,2,2,0,3,0,41.45,0.0,1
5,2.82842712474619,6,1.0,1.22474487139159,1,2,54,1,3,1,0.0,33,27,5,6,0,2,3,53.71,0.0,1
4,1.22474487139159,3,1.22474487139159,1.15325625946708,2,1,30,0,0,1,0.0,12,2,2,2,0,2,1,45.16,0.0,1
4,1.22474487139159,3,1.22474487139159,1.1180339887498998,2,2,32,1,1,1,0.0,14,2,2,2,0,2,0,97.3,1.0,1
4,1.2569805089976498,3,1.2569805089976498,1.5,2,2,35,1,1,1,0.0,17,2,1,2,0,4,0,78.2,0.0,1
5,2.6925824035672496,6,2.34520787991171,1.1916375287813,1,2,54,1,2,1,0.0,34,29,9,7,0,2,0,88.32,1.0,1
5,2.82842712474619,6,2.34520787991171,0.91104335791443,1,2,55,1,2,1,0.0,36,28,9,7,1,3,0,99.97,2.0,1
4,1.3856406460551,3,1.3856406460551,0.648074069840786,3,2,47,1,2,1,0.0,8,5,4,4,2,0,0,80.13,0.0,1
5,2.82842712474619,6,2.34520787991171,1.22474487139159,1,2,47,1,1,1,43.57,28,24,7,6,0,0,0,101.21,3.0,1
4,1.15325625946708,3,1.15325625946708,1.1180339887498998,1,2,33,1,1,1,0.0,15,3,2,3,0,3,0,77.25,0.0,1
5,1.6340134638368202,6,0.0,1.22474487139159,1,1,53,1,3,1,0.0,34,25,14,9,1,2,0,98.86,3.0,1
5,2.82842712474619,6,2.82842712474619,0.707106781186548,1,2,56,1,3,1,6.18,37,28,9,8,2,7,0,80.3,0.0,1
4,1.47309198626562,3,1.47309198626562,1.1916375287813,1,2,35,1,0,1,0.0,17,6,6,3,0,5,14,112.79,3.0,1
5,2.73861278752583,6,2.54950975679639,1.1180339887498998,1,2,52,1,2,1,0.0,33,28,9,8,0,2,0,39.49,0.0,1
4,2.82842712474619,4,2.82842712474619,1.22474487139159,1,1,56,1,2,1,0.0,36,28,9,8,0,3,0,76.5,0.0,1
5,2.82842712474619,6,2.34520787991171,1.22474487139159,1,2,52,1,3,1,0.0,32,27,7,7,0,2,0,68.12,0.0,1
5,2.82842712474619,6,2.34520787991171,0.707106781186548,1,2,55,1,2,1,0.0,35,29,5,7,9,6,1,95.78,2.0,1
5,2.82842712474619,6,2.82842712474619,1.22474487139159,1,2,56,1,4,1,6.36,36,31,12,7,2,0,0,70.87,0.0,1
4,1.0816653826392,3,1.0816653826392,1.22474487139159,2,2,28,0,0,1,0.0,10,4,2,3,2,0,0,107.87,3.0,1
5,2.8425340807103803,6,2.82842712474619,0.648074069840786,1,2,55,1,3,1,0.0,36,32,9,7,3,5,0,82.62,1.0,1
4,1.3856406460551,3,1.3856406460551,1.0,1,2,35,1,2,1,0.0,11,5,3,3,8,3,0,50.53,0.0,1
5,1.58113883008419,6,0.707106781186548,1.1180339887498998,1,1,45,1,3,1,0.0,27,24,11,11,0,3,0,59.62,0.0,1
4,2.82842712474619,4,2.82842712474619,1.1180339887498998,1,1,48,1,0,1,0.0,30,25,8,9,4,0,0,59.83,0.0,1
4,1.22474487139159,3,1.22474487139159,0.648074069840786,2,2,32,1,1,1,0.0,14,2,2,2,0,3,0,47.14,0.0,1
5,2.82842712474619,6,2.82842712474619,1.8248287590894696,1,2,58,1,3,1,66.0,37,31,7,6,0,6,0,68.59,0.0,1
5,2.85832118559129,6,2.82842712474619,0.707106781186548,1,1,55,1,2,1,0.0,35,31,13,9,0,0,0,64.19,0.0,1
4,1.22474487139159,3,1.22474487139159,1.4142135623731005,2,2,32,1,2,3,2.83,10,5,3,2,0,0,1,62.63,2.0,1
5,2.44948974278318,6,2.0,0.707106781186548,1,1,51,1,2,3,3.02,29,26,7,10,2,5,0,20.1,0.0,1
5,2.23606797749979,6,1.73205080756888,1.78044938147649,3,1,50,1,2,3,3.14,27,22,9,7,4,4,0,37.8,0.0,1
4,1.29228479833201,3,1.29228479833201,1.3856406460551,1,2,35,1,0,3,3.08,3,5,3,2,0,1,0,57.93,0.0,1
4,1.1180339887498998,3,1.1180339887498998,0.707106781186548,1,1,31,1,2,3,3.19,7,4,2,4,0,0,2,74.02,0.0,1
4,1.3527749258468702,3,1.3527749258468702,1.1180339887498998,2,1,34,1,1,3,3.13,13,5,4,5,0,8,3,70.67,0.0,1
