job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,year_graduated,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Last_achievement_%,Achievement_above_100%_during3quartal,Best Performance
5,,6,1.0,1.3856406460551,1,2,54,1,2.0,1,,34,,,6.0,0.0,4.0,,47.42,0.0,1
4,1.1180339887498998,3,1.1180339887498998,0.41231056256176596,2,2,30,0,0.0,1,,12,3.0,2.0,2.0,0.0,3.0,0.0,41.45,0.0,1
5,,6,1.0,1.22474487139159,1,2,54,1,3.0,1,,33,,5.0,6.0,0.0,2.0,,53.71,0.0,1
4,1.22474487139159,3,1.22474487139159,1.15325625946708,2,1,30,0,0.0,1,,12,2.0,2.0,2.0,0.0,2.0,1.0,45.16,0.0,1
4,1.22474487139159,3,1.22474487139159,1.1180339887498998,2,2,32,1,1.0,1,,14,2.0,2.0,2.0,0.0,2.0,0.0,97.3,1.0,1
4,1.2569805089976498,3,1.2569805089976498,1.5,2,2,35,1,1.0,1,,17,2.0,1.0,2.0,0.0,4.0,0.0,78.2,0.0,1
5,,6,,1.1916375287813001,1,2,54,1,2.0,1,,34,,,7.0,0.0,2.0,0.0,88.32,1.0,1
5,,6,,0.91104335791443,1,2,55,1,2.0,1,,36,,,7.0,1.0,3.0,0.0,99.97,2.0,1
4,1.3856406460551,3,1.3856406460551,0.648074069840786,3,2,47,1,2.0,1,,8,5.0,4.0,4.0,2.0,0.0,0.0,80.13,0.0,1
5,,6,,1.22474487139159,1,2,47,1,1.0,1,,28,,7.0,6.0,0.0,0.0,0.0,101.21,,1
4,1.15325625946708,3,1.15325625946708,1.1180339887498998,1,2,33,1,1.0,1,,15,3.0,2.0,3.0,0.0,3.0,0.0,77.25,0.0,1
5,,6,,1.22474487139159,1,1,53,1,3.0,1,,34,,,,1.0,2.0,0.0,98.86,,1
5,,6,,0.707106781186548,1,2,56,1,3.0,1,,37,,,,2.0,7.0,0.0,80.3,0.0,1
4,1.47309198626562,3,1.47309198626562,1.1916375287813001,1,2,35,1,0.0,1,,17,6.0,6.0,3.0,0.0,5.0,,112.79,,1
5,,6,,1.1180339887498998,1,2,52,1,2.0,1,,33,,,,0.0,2.0,0.0,39.49,0.0,1
4,,4,,1.22474487139159,1,1,56,1,2.0,1,,36,,,,0.0,3.0,0.0,76.5,0.0,1
5,,6,,1.22474487139159,1,2,52,1,3.0,1,,32,,7.0,7.0,0.0,2.0,0.0,68.12,0.0,1
5,,6,,0.707106781186548,1,2,55,1,2.0,1,,35,,5.0,7.0,,6.0,1.0,95.78,2.0,1
5,,6,,1.22474487139159,1,2,56,1,4.0,1,,36,,,7.0,2.0,0.0,0.0,70.87,0.0,1
4,1.0816653826392,3,1.0816653826392,1.22474487139159,2,2,28,0,0.0,1,,10,4.0,2.0,3.0,2.0,0.0,0.0,107.87,,1
5,,6,,0.648074069840786,1,2,55,1,3.0,1,,36,,,7.0,,5.0,0.0,82.62,1.0,1
4,1.3856406460551,3,1.3856406460551,1.0,1,2,35,1,2.0,1,,11,5.0,3.0,3.0,,3.0,0.0,50.53,0.0,1
5,1.58113883008419,6,,1.1180339887498998,1,1,45,1,3.0,1,,27,,,,0.0,3.0,0.0,59.62,0.0,1
4,,4,,1.1180339887498998,1,1,48,1,0.0,1,,30,,,,,0.0,0.0,59.83,0.0,1
4,1.22474487139159,3,1.22474487139159,0.648074069840786,2,2,32,1,1.0,1,,14,2.0,2.0,2.0,0.0,3.0,0.0,47.14,0.0,1
5,,6,,1.8248287590894696,1,2,58,1,3.0,1,,37,,7.0,6.0,0.0,6.0,0.0,68.59,0.0,1
5,,6,,0.707106781186548,1,1,55,1,2.0,1,,35,,,,0.0,0.0,0.0,64.19,0.0,1
4,1.22474487139159,3,1.22474487139159,1.4142135623731005,2,2,32,1,2.0,3,2.83,10,5.0,3.0,2.0,0.0,0.0,1.0,62.63,2.0,1
5,,6,,0.707106781186548,1,1,51,1,2.0,3,3.02,29,,7.0,,2.0,5.0,0.0,20.1,0.0,1
5,,6,,1.78044938147649,3,1,50,1,2.0,3,3.14,27,,,7.0,,4.0,0.0,37.8,0.0,1
4,1.29228479833201,3,1.29228479833201,1.3856406460551,1,2,35,1,0.0,3,3.08,3,5.0,3.0,2.0,0.0,1.0,0.0,57.93,0.0,1
4,1.1180339887498998,3,1.1180339887498998,0.707106781186548,1,1,31,1,2.0,3,3.19,7,4.0,2.0,4.0,0.0,0.0,2.0,74.02,0.0,1
4,1.3527749258468702,3,1.3527749258468702,1.1180339887498998,2,1,34,1,1.0,3,3.13,13,5.0,4.0,5.0,0.0,8.0,,70.67,0.0,1
5,,6,,1.5556349186104,1,2,42,1,3.0,3,3.21,20,,,7.0,,0.0,2.0,58.75,0.0,1
4,1.3527749258468702,3,1.3527749258468702,0.41231056256176596,1,2,36,1,2.0,3,,12,6.0,5.0,5.0,0.0,4.0,0.0,61.75,0.0,1
4,,4,,0.707106781186548,1,2,41,1,1.0,3,2.85,19,,7.0,7.0,0.0,2.0,0.0,56.01,0.0,1
4,1.1180339887498998,3,1.1180339887498998,0.9591663046625442,1,2,32,1,0.0,3,3.14,8,3.0,3.0,4.0,0.0,3.0,0.0,17.6,0.0,1
4,1.3856406460551,3,1.3856406460551,0.707106781186548,3,2,31,1,0.0,3,2.79,8,3.0,3.0,3.0,0.0,0.0,1.0,58.35,1.0,1
4,1.15325625946708,3,1.15325625946708,0.8660254037844392,2,2,31,1,1.0,3,,10,3.0,3.0,2.0,0.0,3.0,0.0,59.95,1.0,1
4,1.3527749258468702,3,1.3527749258468702,1.0,2,2,31,0,0.0,3,3.27,10,4.0,3.0,4.0,0.0,7.0,0.0,61.48,2.0,1
4,1.3856406460551,3,1.3856406460551,1.3527749258468702,1,2,35,0,0.0,3,3.12,12,4.0,3.0,3.0,1.0,7.0,2.0,23.81,0.0,1
4,1.3856406460551,3,1.3856406460551,1.3527749258468702,1,2,36,1,1.0,3,3.33,11,4.0,3.0,3.0,0.0,5.0,0.0,55.07,0.0,1
